Policy,Episode,Run_Time_sec,Generated_Tasks,Accepted_Tasks,Dropped_Tasks,Completed_Tasks,Reward,Avg_Queue_Length,Load_Imbalance_Std,Freq_Server_0,Freq_Server_1,Freq_Server_2
DQN,75,0.017993688583374023,2848.0,2848.0,0,300,-3868.4800000000023,1289.4933333333333,607.87298686323,300,0,0
DQN,76,0.017006635665893555,2835.0,2835.0,0,300,-3821.3199999999997,1273.7733333333333,600.462507796395,300,0,0
DQN,77,0.0183258056640625,2811.0,2811.0,0,300,-3715.42,1238.4733333333334,583.8219282124718,300,0,0
DQN,78,0.01651930809020996,2934.0,2934.0,0,300,-3944.4900000000002,1314.83,619.8168060716723,300,0,0
DQN,79,0.017072439193725586,2894.0,2894.0,0,300,-3902.300000000003,1300.7666666666667,613.1872871609477,300,0,0
DQN,80,0.016927719116210938,2862.0,2862.0,0,300,-3934.7899999999995,1311.5966666666666,618.2925981211146,300,0,0
DQN,81,0.01799488067626953,2813.0,2813.0,0,300,-3731.5299999999993,1243.8433333333332,586.3533704891196,300,0,0
DQN,82,0.017673969268798828,2777.0,2777.0,0,300,-3754.2099999999987,1251.4033333333334,589.9171886662997,300,0,0
DQN,83,0.018093347549438477,2920.0,2920.0,0,300,-3972.0299999999993,1324.01,624.1442995725339,300,0,0
DQN,84,0.01764678955078125,2892.0,2892.0,0,300,-3883.280000000001,1294.4266666666667,610.1985824991324,300,0,0
DQN,85,0.017924785614013672,2865.0,2865.0,0,300,-3908.640000000002,1302.88,614.1835220482194,300,0,0
DQN,86,0.01600337028503418,2894.0,2894.0,0,300,-3971.4300000000003,1323.81,624.0500186683756,300,0,0
DQN,87,0.01707005500793457,2808.0,2808.0,0,300,-3678.2100000000014,1226.07,577.9749408062602,300,0,0
DQN,88,0.01797771453857422,2861.0,2861.0,0,300,-3788.32,1262.7733333333333,595.2770580676937,300,0,0
DQN,89,0.01909947395324707,2828.0,2828.0,0,300,-3727.649999999999,1242.55,585.7436873088965,300,0,0
DQN,90,0.016683578491210938,2789.0,2789.0,0,300,-3733.1699999999987,1244.39,586.6110716271519,300,0,0
DQN,91,0.017009496688842773,2905.0,2905.0,0,300,-3970.4100000000008,1323.47,623.8897411313066,300,0,0
DQN,92,0.016921281814575195,2822.0,2822.0,0,300,-3822.080000000001,1274.0266666666666,600.5819302749954,300,0,0
DQN,93,0.0167543888092041,2854.0,2854.0,0,300,-3886.249999999997,1295.4166666666667,610.6652729747155,300,0,0
DQN,94,0.016998291015625,2845.0,2845.0,0,300,-3745.249999999998,1248.4166666666667,588.5092604975372,300,0,0
DQN,95,0.018004417419433594,2793.0,2793.0,0,300,-3782.23,1260.7433333333333,594.320106890488,300,0,0
DQN,96,0.01636481285095215,2847.0,2847.0,0,300,-3768.0600000000013,1256.02,592.0935062039515,300,0,0
DQN,97,0.016916513442993164,2818.0,2818.0,0,300,-3868.759999999999,1289.5866666666666,607.916984618504,300,0,0
DQN,98,0.017076969146728516,2908.0,2908.0,0,300,-3973.919999999999,1324.64,624.4412844206323,300,0,0
DQN,99,0.01792287826538086,2806.0,2806.0,0,300,-3811.68,1270.56,598.9477279362532,300,0,0
DQN,100,0.01799941062927246,2888.0,2888.0,0,300,-3879.090000000002,1293.03,609.5401875184277,300,0,0
Round Robin,1,0.004088878631591797,2845.0,2845.0,0,897,-2975.54,991.8466666666667,13.39609527239801,100,100,100
Round Robin,2,0.004997730255126953,2819.0,2819.0,0,897,-2780.6700000000005,926.89,17.135563083862102,100,100,100
Round Robin,3,0.0042536258697509766,2840.0,2840.0,0,897,-2940.420000000002,980.14,20.479135505306946,100,100,100
Round Robin,4,0.0035316944122314453,2907.0,2907.0,0,897,-3023.4500000000025,1007.8166666666667,17.500067498905008,100,100,100
Round Robin,5,0.004999637603759766,2988.0,2988.0,0,897,-3158.2000000000003,1052.7333333333333,7.3366688723513045,100,100,100
Round Robin,6,0.003999471664428711,2824.0,2824.0,0,897,-2973.7099999999996,991.2366666666667,10.536312522854107,100,100,100
Round Robin,7,0.0050008296966552734,2860.0,2860.0,0,897,-2881.0399999999986,960.3466666666667,25.104841204695617,100,100,100
Round Robin,8,0.003992795944213867,2793.0,2793.0,0,897,-2868.0200000000004,956.0066666666667,9.909134222415549,100,100,100
Round Robin,9,0.004006385803222656,2835.0,2835.0,0,897,-2897.360000000001,965.7866666666666,8.689593520936286,100,100,100
